type,grade,pfs_0,pfs_0_months,pfs_1,pfs_1_months,pfs_1_perc,dss_0,dss_0_months,dss_1,dss_1_months,dss_1_perc,proportion_val_1_pfs,proportion_val_1_pfs_chi2_p,proportion_val_2_pfs,proportion_val_2_pfs_chi2_p,proportion_val_1_dds,proportion_val_1_dds_chi2_p,proportion_val_2_dds,proportion_val_2_dds_chi2_p
Chemo_0_Hormo_0,1,16,142.47,9,69.33,36.00,18,142.05,7,49.52,28.00,0.0000,NaN,0.4631,0.084614,0.0000,NaN,0.4082,0.101948
Chemo_0_Hormo_0,2,48,170.62,31,80.62,39.24,54,153.34,24,99.13,30.77,0.2683,0.017413,0.8114,0.248032,0.3422,0.074042,0.9311,0.731868
Chemo_0_Hormo_0,3,53,182.53,35,44.31,39.77,57,166.97,30,48.44,34.48,0.8381,0.426078,1.0835,0.604608,1.0151,0.948370,1.1601,0.384506
Chemo_0_Hormo_1,1,30,91.84,6,64.53,16.67,31,93.45,4,57.45,11.43,1.4997,0.677318,0.4631,0.084614,2.1872,0.441819,0.4082,0.101948
Chemo_0_Hormo_1,2,122,123.46,57,73.66,31.84,127,119.88,51,78.53,28.65,0.1963,0.002967,0.8114,0.248032,0.2182,0.007234,0.9311,0.731868
Chemo_0_Hormo_1,3,103,149.16,78,58.84,43.09,108,137.85,72,65.91,40.00,1.0594,0.754714,1.0835,0.604608,0.9240,0.706146,1.1601,0.384506
Chemo_1_Hormo_0,1,0,nan,1,6.03,0.00,1,6.03,0,nan,0.00,0.0000,NaN,NaN,NaN,0.0000,NaN,NaN,NaN
Chemo_1_Hormo_0,2,17,37.64,2,12.00,10.53,17,37.64,2,12.00,10.53,0.2683,0.017413,0.5935,0.582871,0.3422,0.074042,0.5935,0.582871
Chemo_1_Hormo_0,3,40,73.49,20,21.83,33.33,39,73.68,21,23.94,35.00,0.8381,0.426078,1.3696,0.196804,1.0151,0.948370,1.0560,0.835086
Chemo_1_Hormo_1,1,3,73.88,1,56.50,25.00,3,73.88,1,56.50,25.00,1.4997,0.677318,NaN,NaN,2.1872,0.441819,NaN,NaN
Chemo_1_Hormo_1,2,30,50.71,2,72.25,6.25,30,50.71,2,72.25,6.25,0.1963,0.002967,0.5935,0.582871,0.2182,0.007234,0.5935,0.582871
Chemo_1_Hormo_1,3,25,57.20,21,35.75,45.65,29,57.58,17,30.05,36.96,1.0594,0.754714,1.3696,0.196804,0.9240,0.706146,1.0560,0.835086
Chemo_0,1,46,109.45,15,67.41,24.59,49,111.30,11,52.40,18.33,1.6267,0.448735,NaN,NaN,1.0911,0.926471,NaN,NaN
Chemo_0,2,170,136.78,88,76.11,34.11,181,129.86,75,85.12,29.30,0.2298,0.000178,NaN,NaN,0.2676,0.001373,NaN,NaN
Chemo_0,3,156,160.50,113,54.34,42.01,165,147.91,102,60.77,38.20,0.9207,0.555241,NaN,NaN,0.9385,0.672055,NaN,NaN
Chemo_1,1,3,73.88,2,31.27,40.00,4,56.91,1,56.50,20.00,1.6267,0.448735,NaN,NaN,1.0911,0.926471,NaN,NaN
Chemo_1,2,47,45.98,4,42.12,7.84,47,45.98,4,42.12,7.84,0.2298,0.000178,NaN,NaN,0.2676,0.001373,NaN,NaN
Chemo_1,3,65,67.23,41,28.96,38.68,68,66.82,38,26.67,35.85,0.9207,0.555241,NaN,NaN,0.9385,0.672055,NaN,NaN
Hormon_0,1,16,142.47,10,63.00,38.46,19,134.89,7,49.52,26.92,0.4550,0.057069,NaN,NaN,0.4762,0.151105,NaN,NaN
Hormon_0,2,65,135.84,33,76.46,33.67,71,125.63,26,92.43,26.80,0.8304,0.306892,NaN,NaN,0.9418,0.770441,NaN,NaN
Hormon_0,3,93,135.64,55,36.14,37.16,96,129.07,51,38.35,34.69,1.1736,0.214603,NaN,NaN,1.1352,0.361002,NaN,NaN
Hormon_1,1,33,90.20,7,63.39,17.50,34,91.72,5,57.26,12.82,0.4550,0.057069,NaN,NaN,0.4762,0.151105,NaN,NaN
Hormon_1,2,152,109.10,59,73.61,27.96,157,106.66,53,78.30,25.24,0.8304,0.306892,NaN,NaN,0.9418,0.770441,NaN,NaN
Hormon_1,3,128,131.20,99,53.94,43.61,137,120.86,89,59.06,39.38,1.1736,0.214603,NaN,NaN,1.1352,0.361002,NaN,NaN
