type,grade,pfs_0,pfs_0_months,pfs_1,pfs_1_months,pfs_1_perc,dss_0,dss_0_months,dss_1,dss_1_months,dss_1_perc,proportion_val_1_pfs,proportion_val_1_pfs_chi2_p,proportion_val_2_pfs,proportion_val_2_pfs_chi2_p,proportion_val_1_dds,proportion_val_1_dds_chi2_p,proportion_val_2_dds,proportion_val_2_dds_chi2_p
Chemo_0_Hormo_0,1,10,127.98,2,40.59,16.67,8,135.42,4,69.42,33.33,0.0000,NaN,0.6857,0.638910,0.0000,NaN,0.4287,0.147866
Chemo_0_Hormo_0,2,35,111.52,21,62.88,37.50,38,110.96,18,55.95,32.14,0.6667,0.616234,0.6264,0.044863,0.7778,0.766703,0.7147,0.179869
Chemo_0_Hormo_0,3,38,133.97,9,17.44,19.15,31,146.41,16,44.33,34.04,1.4919,0.563621,2.1530,0.007489,1.2591,0.648676,0.9791,0.930944
Chemo_0_Hormo_1,1,31,96.01,4,40.80,11.43,30,91.72,5,77.61,14.29,4.3745,0.120693,0.6857,0.638910,0.0000,NaN,0.4287,0.147866
Chemo_0_Hormo_1,2,114,97.02,35,56.46,23.49,114,95.92,34,59.79,22.97,1.5964,0.367436,0.6264,0.044863,1.0884,0.894555,0.7147,0.179869
Chemo_0_Hormo_1,3,67,95.38,47,48.52,41.23,76,85.99,38,56.22,33.33,0.8084,0.701373,2.1530,0.007489,1.0000,1.000000,0.9791,0.930944
Chemo_1_Hormo_0,1,1,33.03,0,nan,0.00,1,33.03,0,nan,0.00,0.0000,NaN,NaN,NaN,0.0000,NaN,NaN,NaN
Chemo_1_Hormo_0,2,3,47.35,1,85.70,25.00,3,47.35,1,85.70,25.00,0.6667,0.616234,1.5000,0.665006,0.7778,0.766703,1.0000,1.000000
Chemo_1_Hormo_0,3,5,41.90,2,15.93,28.57,4,49.61,3,14.31,42.86,1.4919,0.563621,1.1666,0.852876,1.2591,0.648676,0.7776,0.724939
Chemo_1_Hormo_1,1,1,19.83,1,78.03,50.00,2,48.93,0,nan,0.00,4.3745,0.120693,NaN,NaN,0.0000,NaN,NaN,NaN
Chemo_1_Hormo_1,2,5,34.45,3,17.61,37.50,6,30.33,2,21.57,25.00,1.5964,0.367436,1.5000,0.665006,1.0884,0.894555,1.0000,1.000000
Chemo_1_Hormo_1,3,4,40.84,2,39.65,33.33,4,40.84,2,39.65,33.33,0.8084,0.701373,1.1666,0.852876,1.0000,1.000000,0.7776,0.724939
Chemo_0,1,41,103.81,6,40.73,12.77,38,100.92,9,73.97,19.15,2.6100,0.319550,NaN,NaN,0.0000,NaN,NaN,NaN
Chemo_0,2,149,100.42,56,58.86,27.32,152,99.68,52,58.46,25.49,1.2200,0.650624,NaN,NaN,0.9808,0.969783,NaN,NaN
Chemo_0,3,105,109.35,56,43.53,34.78,107,103.49,54,52.70,33.54,0.8847,0.769639,NaN,NaN,1.1467,0.718444,NaN,NaN
Chemo_1,1,2,26.43,1,78.03,33.33,3,43.63,0,nan,0.00,2.6100,0.319550,NaN,NaN,0.0000,NaN,NaN,NaN
Chemo_1,2,8,39.29,4,34.64,33.33,9,36.00,3,42.95,25.00,1.2200,0.650624,NaN,NaN,0.9808,0.969783,NaN,NaN
Chemo_1,3,9,41.43,4,27.79,30.77,8,45.22,5,24.45,38.46,0.8847,0.769639,NaN,NaN,1.1467,0.718444,NaN,NaN
Hormon_0,1,11,119.35,2,40.59,15.38,9,124.04,4,69.42,30.77,0.8784,0.867172,NaN,NaN,0.4391,0.163594,NaN,NaN
Hormon_0,2,38,106.45,22,63.91,36.67,41,106.31,19,57.52,31.67,0.6599,0.066374,NaN,NaN,0.7288,0.194312,NaN,NaN
Hormon_0,3,43,123.26,11,17.17,20.37,35,135.34,19,39.59,35.19,2.0044,0.008608,NaN,NaN,0.9471,0.811321,NaN,NaN
Hormon_1,1,32,93.63,5,48.25,13.51,32,89.04,5,77.61,13.51,0.8784,0.867172,NaN,NaN,0.4391,0.163594,NaN,NaN
Hormon_1,2,119,94.39,38,53.39,24.20,120,92.64,36,57.67,23.08,0.6599,0.066374,NaN,NaN,0.7288,0.194312,NaN,NaN
Hormon_1,3,71,92.31,49,48.16,40.83,80,83.73,40,55.39,33.33,2.0044,0.008608,NaN,NaN,0.9471,0.811321,NaN,NaN
