type,condition_type,condition_value,pfs_0,pfs_0_months_mean,pfs_0_months_std,pfs_1,pfs_1_months_mean,pfs_1_months_std,pfs_1_perc,dss_0,dss_0_months_mean,dss_0_months_std,dss_1,dss_1_months_mean,dss_1_months_std,dss_1_perc,proportion_val_1_pfs,proportion_val_1_pfs_chi2_p,proportion_val_2_pfs,proportion_val_2_pfs_chi2_p,proportion_val_1_dds,proportion_val_1_dds_chi2_p,proportion_val_2_dds,proportion_val_2_dds_chi2_p,significance
Chemo_0_Hormo_0,grade,1,16,128.42,94.15,3,43.41,9.97,15.79,14,132.73,92.66,5,65.35,75.95,26.32,,,0.6884,0.582906,,,0.5065,0.208481,
Chemo_0_Hormo_0,grade,2,49,123.62,68.19,34,61.97,58.26,40.96,55,117.33,67.29,28,61.11,63.34,33.73,0.4883,0.352281,0.6104,0.006351,0.5929,0.525721,0.7181,0.094594,PFS 2nd (p<0.05)
Chemo_0_Hormo_0,grade,3,56,143.46,76.69,23,36.20,32.76,29.11,52,148.34,68.42,27,42.69,61.24,34.18,1.336,0.418082,1.4696,0.035593,1.1378,0.70536,1.0857,0.647239,
Chemo_0_Hormo_1,grade,1,41,99.97,64.06,5,36.75,45.10,10.87,39,98.92,66.14,6,68.09,50.57,13.33,4.5998,0.10141,0.6884,0.582906,,,0.5065,0.208481,
Chemo_0_Hormo_1,grade,2,168,108.14,71.33,56,59.04,42.10,25.00,169,106.62,72.57,54,62.72,39.80,24.22,0.8572,0.763995,0.6104,0.006351,0.59,0.396231,0.7181,0.094594,PFS 2nd (p<0.05)
Chemo_0_Hormo_1,grade,3,111,112.93,70.53,83,52.25,45.35,42.78,122,100.32,65.27,72,64.34,66.77,37.11,1.0227,0.940146,1.4696,0.035593,1.0105,0.97546,1.0857,0.647239,
Chemo_1_Hormo_0,grade,1,1,33.03,nan,0,nan,nan,nan,1,33.03,nan,0,nan,nan,nan,,,,,,,,,
Chemo_1_Hormo_0,grade,2,4,52.22,56.09,1,85.70,nan,20.00,4,52.22,56.09,1,85.70,nan,20.00,0.4883,0.352281,1.0715,0.946375,0.5929,0.525721,0.7145,0.763573,
Chemo_1_Hormo_0,grade,3,11,39.98,44.71,7,28.12,16.86,38.89,11,42.05,43.76,7,24.87,17.75,38.89,1.336,0.418082,1.125,0.773753,1.1378,0.70536,0.9643,0.933708,
Chemo_1_Hormo_1,grade,1,1,19.83,nan,1,78.03,nan,50.00,2,48.93,41.15,0,nan,nan,nan,4.5998,0.10141,,,,,,,
Chemo_1_Hormo_1,grade,2,11,39.32,26.25,3,17.61,7.99,21.43,12,36.86,26.45,2,21.57,5.80,14.29,0.8572,0.763995,1.0715,0.946375,0.59,0.396231,0.7145,0.763573,
Chemo_1_Hormo_1,grade,3,9,28.01,21.48,7,24.33,16.82,43.75,10,25.86,21.36,6,27.31,16.28,37.50,1.0227,0.940146,1.125,0.773753,1.0105,0.97546,0.9643,0.933708,
Chemo_0,grade,1,57,107.95,73.97,8,39.25,34.68,12.31,53,107.85,74.63,11,66.85,59.90,17.19,2.7076,0.293402,,,,,,,
Chemo_0,grade,2,217,111.63,70.77,90,60.15,48.54,29.32,224,109.25,71.31,82,62.17,48.73,26.80,0.7179,0.440341,,,0.5892,0.289408,,,
Chemo_0,grade,3,167,123.17,73.85,106,48.77,43.30,38.83,174,114.67,69.61,99,58.44,65.72,36.26,1.0605,0.791269,,,1.0546,0.821822,,,
Chemo_1,grade,1,2,26.43,9.33,1,78.03,nan,33.33,3,43.63,30.51,0,nan,nan,nan,2.7076,0.293402,,,,,,,
Chemo_1,grade,2,15,42.76,34.66,4,34.64,34.66,21.05,16,40.70,34.49,3,42.95,37.25,15.79,0.7179,0.440341,,,0.5892,0.289408,,,
Chemo_1,grade,3,20,34.59,35.83,14,26.23,16.30,41.18,21,34.34,35.09,13,26.00,16.42,38.24,1.0605,0.791269,,,1.0546,0.821822,,,
Hormon_0,grade,1,17,122.81,94.05,3,43.41,9.97,15.00,15,126.08,92.92,5,65.35,75.95,25.00,0.8333,0.781632,,,0.5108,0.216075,,,
Hormon_0,grade,2,53,118.23,69.54,35,62.65,57.54,39.77,59,112.91,68.20,29,61.96,62.36,32.95,0.6233,0.008023,,,0.7171,0.089144,,,PFS (p<0.05)
Hormon_0,grade,3,67,126.47,81.82,30,34.32,29.75,30.93,63,129.78,76.25,34,39.02,55.37,35.05,1.3857,0.046432,,,1.0596,0.723428,,,
Hormon_1,grade,1,42,98.06,64.47,6,43.63,43.72,12.50,41,96.49,65.71,6,68.09,50.57,12.77,0.8333,0.781632,,,0.5108,0.216075,,,
Hormon_1,grade,2,179,103.91,71.32,59,56.93,42.04,24.79,181,101.99,72.53,56,61.25,39.83,23.63,0.6233,0.008023,,,0.7171,0.089144,,,PFS (p<0.05)
Hormon_1,grade,3,120,106.56,71.65,90,50.08,44.39,42.86,132,94.68,66.01,78,61.49,65.02,37.14,1.3857,0.046432,,,1.0596,0.723428,,,
