type,grade,pfs_0,pfs_0_months,pfs_1,pfs_1_months,pfs_1_perc,dss_0,dss_0_months,dss_1,dss_1_months,dss_1_perc,proportion_val_1_pfs,proportion_val_1_pfs_chi2_p,proportion_val_2_pfs,proportion_val_2_pfs_chi2_p,proportion_val_1_dds,proportion_val_1_dds_chi2_p,proportion_val_2_dds,proportion_val_2_dds_chi2_p
Chemo_0_Hormo_0,1,9,182.47,1,127.53,10.00,9,182.47,1,127.53,10.00,2.0000,0.591208,2.2220,0.418442,2.0000,0.591208,1.1110,0.927426
Chemo_0_Hormo_0,2,37,168.37,27,78.16,42.19,43,154.10,21,81.61,32.81,0.6971,0.214299,0.7525,0.223030,0.6276,0.202281,0.9192,0.747520
Chemo_0_Hormo_0,3,33,160.22,30,52.54,47.62,36,152.97,27,50.25,42.86,0.8177,0.263372,0.7980,0.305458,0.9085,0.611401,0.7466,0.237736
Chemo_0_Hormo_1,1,14,109.26,4,82.22,22.22,16,110.00,2,49.27,11.11,0.5000,0.483522,2.2220,0.418442,0.0000,NaN,1.1110,0.927426
Chemo_0_Hormo_1,2,43,147.37,20,51.24,31.75,44,141.48,19,59.83,30.16,0.8016,0.451583,0.7525,0.223030,0.4824,0.043998,0.9192,0.747520
Chemo_0_Hormo_1,3,31,147.73,19,40.06,38.00,34,138.03,16,40.50,32.00,0.9747,0.919273,0.7980,0.305458,0.9838,0.954733,0.7466,0.237736
Chemo_1_Hormo_0,1,4,50.71,1,29.43,20.00,4,50.71,1,29.43,20.00,2.0000,0.591208,0.5555,0.648807,2.0000,0.591208,0.0000,NaN
Chemo_1_Hormo_0,2,24,100.20,10,64.51,29.41,27,94.52,7,71.12,20.59,0.6971,0.214299,0.8654,0.682733,0.6276,0.202281,0.7067,0.459342
Chemo_1_Hormo_0,3,69,114.28,44,23.73,38.94,69,109.57,44,31.11,38.94,0.8177,0.263372,0.9512,0.813154,0.9085,0.611401,0.8084,0.349229
Chemo_1_Hormo_1,1,8,54.99,1,85.37,11.11,9,58.37,0,nan,0.00,0.5000,0.483522,0.5555,0.648807,0.0000,NaN,0.0000,NaN
Chemo_1_Hormo_1,2,41,65.57,14,71.10,25.45,47,67.42,8,64.36,14.55,0.8016,0.451583,0.8654,0.682733,0.4824,0.043998,0.7067,0.459342
Chemo_1_Hormo_1,3,34,111.41,20,45.32,37.04,37,109.51,17,37.79,31.48,0.9747,0.919273,0.9512,0.813154,0.9838,0.954733,0.8084,0.349229
Chemo_0,1,23,137.90,5,91.28,17.86,25,136.08,3,75.36,10.71,0.8001,0.769698,NaN,NaN,0.6667,0.710119,NaN,NaN
Chemo_0,2,80,157.08,47,66.71,37.01,87,147.72,40,71.26,31.50,0.7287,0.122016,NaN,NaN,0.5349,0.015046,NaN,NaN
Chemo_0,3,64,154.17,49,47.70,43.36,70,145.71,43,46.62,38.05,0.8838,0.399080,NaN,NaN,0.9601,0.795404,NaN,NaN
Chemo_1,1,12,53.56,2,57.40,14.29,13,56.01,1,29.43,7.14,0.8001,0.769698,NaN,NaN,0.6667,0.710119,NaN,NaN
Chemo_1,2,65,78.36,24,68.35,26.97,74,77.31,15,67.51,16.85,0.7287,0.122016,NaN,NaN,0.5349,0.015046,NaN,NaN
Chemo_1,3,103,113.33,64,30.48,38.32,106,109.55,61,32.97,36.53,0.8838,0.399080,NaN,NaN,0.9601,0.795404,NaN,NaN
Hormon_0,1,13,141.93,2,78.48,13.33,13,141.93,2,78.48,13.33,1.3893,0.665706,NaN,NaN,0.5559,0.530736,NaN,NaN
Hormon_0,2,61,141.55,37,74.47,37.76,70,131.12,28,78.98,28.57,0.7630,0.163689,NaN,NaN,0.8008,0.339243,NaN,NaN
Hormon_0,3,102,129.14,74,35.41,42.05,105,124.45,71,38.39,40.34,0.8918,0.453805,NaN,NaN,0.7866,0.149655,NaN,NaN
Hormon_1,1,22,89.52,5,82.85,18.52,25,91.41,2,49.27,7.41,1.3893,0.665706,NaN,NaN,0.5559,0.530736,NaN,NaN
Hormon_1,2,84,107.44,34,59.42,28.81,91,103.23,27,61.17,22.88,0.7630,0.163689,NaN,NaN,0.8008,0.339243,NaN,NaN
Hormon_1,3,65,128.73,39,42.76,37.50,71,123.17,33,39.10,31.73,0.8918,0.453805,NaN,NaN,0.7866,0.149655,NaN,NaN
